resolution,position_number,assembly_indicator,component_number,object_short_text,componentmng_kme,base_amount,compensation_unit,supplier_s_name,vi_recommendation,vi_plant,vi_material,material_description,material_composition,measured_weight,total_measured_weight,weight_unit,source_product_scope,source_sheet,source_file,vi_plant_name,total_weight,material_type,final_destination_of_material_at_plant
....4,0007,,6071537,Unlocking rod,2.0,ST,ST,,88.0,unterschiedliche Beschaftung (Different Procurement),PA6 GF30,Thermoplastic - PA6 GF30,Poly Carbonate Acrylonitrile butadiene styrene,,40.0,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
....4,0008,,6157157,Crown seal 8 x 2,0.4,ST,ST,,1000.0,Third Party products abroad,SI 60Shore,Paper,Paper,,3.0,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
....4,0013,,6079409,Pin Tilt latch,2.0,ST,ST,,1000.0,Third Party products abroad,PA6 GF30,Thermoplastic - PA6 GF30,Poly Carbonate Acrylonitrile butadiene styrene,,7.0,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
....4,0001,,6157989,Insulation left LKB IDU 450,1.0,ST,ST,,0.0,Third Party,EPDM 40Shore,EPDM - Rubber,Ethylene Propylene Diene Monomer Rubber,,10.0,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
....4,0002,,6157990,Insulation right LKB IDU 450,1.0,ST,ST,,0.0,Third Party,EPDM 40Shore,EPDM - Rubber,Ethylene Propylene Diene Monomer Rubber,,5.0,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
....4,0005,,6157993,Insulation middle LKB,1.0,ST,ST,,0.0,Third Party,EPDM 40Shore,EPDM - Rubber,Ethylene Propylene Diene Monomer Rubber,,50.0,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
...3,0008,X,7924067,Front cover with gasket,1.0,ST,ST,,5.0,Vi-Werke Allendorf,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
....4,0003,,6181003,Center clip,4.0,ST,ST,,0.0,Third Party,PP GF20,Paper,Paper,0.8,3.2,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
....4,0005,X,7927722,Front cover powdered,1.0,ST,ST,,5.0,Vi-Werke Allendorf,,,,3770.2,3770.2,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.....5,0001,,6140276,Front cover,1.0,ST,ST,,5.0,Vi-Werke Allendorf,DX53D+Z,Galvanised Steel,Fe(98.335%) C(0.12%) Si(0.5%) Mn(0.6%) P(0.1%) S(0.045%) Ti(0.3%) + polycarbonate,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
...3,0009,X,7976195,Air box swivel bend DCA45/92,1.0,ST,ST,,5.0,Vi-Werke Allendorf,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
....4,0001,X,7976196,Air box powder-coated,1.0,ST,ST,,5.0,Vi-Werke Allendorf,,,,9500.0,9500.0,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.....5,0001,,6184445,Air box,1.0,ST,ST,,5.0,Vi-Werke Allendorf,DX51D+Z,Non alloy quality Steel,Fe (98.335%) C(0.12%) Si (0.5%) Mn (0.6%) P (0.1%) S (0.045%) Ti (0.3%) + polycarbonate,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
...3,0010,,6143151,Device holder DCG45,1.0,ST,ST,,5.0,Vi-Werke Allendorf,DX53D+Z,Galvanised Steel,Fe(98.335%) C(0.12%) Si(0.5%) Mn(0.6%) P(0.1%) S(0.045%) Ti(0.3%) + polycarbonate,3230.0,3230.0,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
...3,0013,,9584182,"Blind rivet ISO15979 - 3,2x 6 - St/St",2.0,ST,ST,,0.0,Third Party,,Stainless steel,,2.0,4.0,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
..2,0009,X,7932292,Electronic module IDU,1.0,ST,ST,,88.0,unterschiedliche Beschaftung (Different Procurement),,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
...3,0001,X,7980718,Heat Pump Management Unit HPMU,1.0,ST,ST,,48.0,Vi-Elektronik,,,,908.8,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
....4,0001,X,7980717,Heat Pump Management Unit,1.0,ST,ST,,88.0,unterschiedliche Beschaftung (Different Procurement),,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.....5,0001,X,6157480,HPMU upper part,1.0,ST,ST,,0.0,Third Party,PC-ABS,,Poly Carbonate Acrylonitrile butadiene styrene,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
......6,0001,,6143543,Molded part HPMU upper part,1.0,ST,ST,,1000.0,Third Party products abroad,PC-ABS,Thermoplastic - PC-ABS,Poly Carbonate Acrylonitrile butadiene styrene,244.9,244.9,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.....5,0002,X,6156888,Housing HPMU lower part,1.0,ST,ST,,0.0,Third Party,PC-ABS,,Poly Carbonate Acrylonitrile butadiene styrene,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
......6,0001,,6143542,Molded part HPMU lower part,1.0,ST,ST,,1000.0,Third Party products abroad,PC-ABS,Thermoplastic - PC-ABS,Poly Carbonate Acrylonitrile butadiene styrene,373.2,373.2,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.....5,0003,X,7471137,00002_HMU Heat Pump,1.0,ST,ST,,88.0,unterschiedliche Beschaftung (Different Procurement),,,,275.5,275.5,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
......6,0020,,7470570,00002_HMU Heatpump HND,1.0,ST,ST,,48.0,Vi-Elektronik,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
......6,0050,,4481806 SWE 001 01,D3:20_HPMU_I509_2305-R5,1.0,,ST,,,#N/A,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.....5,0004,,5263083,Cover switch opening,1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.....5,0006,,9519247,"G-fuse T 6,3A 250V H 5,0x20",1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.....5,0007,X,7947268,Terminating resistor CAN connector 91,1.0,ST,ST,,16.0,Vi-Technika Legnica,,,,10.2,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
......6,0001,X,7928050,ABG Socket plug terminal 3-pin - No. 91,1.0,ST,ST,,88.0,unterschiedliche Beschaftung (Different Procurement),,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
......6,0004,X,7948444,Terminating resistor CAN heat shrinkable tube,1.0,ST,ST,,16.0,Vi-Technika Legnica,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.......7,0004,,9506064,"resistor 120R +-1% P70=0,4W",1.0,ST,ST,,0.0,Third Party,,,,,2.2,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.....5,0008,,6141105,Cellular rubber profile 15 L=150,1.0,ST,ST,,0.0,Third Party,EPDM-Zellgummi,EPDM - Rubber,Ethylene Propylene Diene Monomer Rubber,,4.0,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
....4,0002,,9601671,"Label 58 x 10,5 white",1.0,ST,ST,,1000.0,Third Party products abroad,Super Tack CrackBack Plus,Paper,Paper,,1.0,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
...3,0002,X,7977879,Electronic Heater Control Unit EHCU,1.0,ST,ST,,48.0,Vi-Elektronik,,,,538.6,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
....4,0001,X,7977878,Electronic Heater Control Unit,1.0,ST,ST,,88.0,unterschiedliche Beschaftung (Different Procurement),,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.....5,0001,X,7470820,0040_EHCU,1.0,ST,ST,,88.0,unterschiedliche Beschaftung (Different Procurement),,,,222.8,222.8,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
......6,0010,,6166335,Software HWID 00040.00500.00700.00000,1.0,ST,ST,,1000.0,Third Party products abroad,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
......6,0020,X,7632442,0040_EHCU HND,1.0,ST,ST,,48.0,Vi-Elektronik,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.......7,0001,X,7335765,0040_EHCU THT,1.0,ST,ST,,48.0,Vi-Elektronik,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
........8,0001,X,7632441,0040_EHCU SMD,1.0,ST,ST,,48.0,Vi-Elektronik,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0010,,7632341,PCB 0040 EHCU,1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0020,,9638835,Cap Cer 100nF 10% 50V X7R CH0603,1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0030,,9638835,Cap Cer 100nF 10% 50V X7R CH0603,1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0040,,9638835,Cap Cer 100nF 10% 50V X7R CH0603,1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0050,,9638835,Cap Cer 100nF 10% 50V X7R CH0603,1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0090,,9562280,Cap Cer 10nF 10% 50V X7R CH0603,1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0140,,9562280,Cap Cerium 10nF 10% 50V X7R CH0603,1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0150,,9562280,Cap Cer 10nF 10% 50V X7R CH0603,1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0160,,9562280,Cap Cerium 10nF 10% 50V X7R CH0603,1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0190,,9562280,Cap Cerium 10nF 10% 50V X7R CH0603,1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0200,,9638835,Cap Cer 100nF 10% 50V X7R CH0603,1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0210,,9562280,Cap Cerium 10nF 10% 50V X7R CH0603,1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0220,,9562280,Cap Cerium 10nF 10% 50V X7R CH0603,1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0240,,9682218,Cap Cerium 220nF 10% 50V X7R CH0603,1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0250,,9682218,Cap Cerium 220nF 10% 50V X7R CH0603,1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0260,,9638835,Cap Cerium 100nF 10% 50V X7R CH0603,1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0270,,9682218,Cap Cerium 220nF 10% 50V X7R CH0603,1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0280,,9682218,Cap Cerium 220nF 10% 50V X7R CH0603,1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0290,,9682218,Cap Cer 220nF 10% 50V X7R CH0603,1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0300,,9682218,Cap Cer 220nF 10% 50V X7R CH0603,1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0310,,9682218,Cap Cer 220nF 10% 50V X7R CH0603,1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0320,,9562283,SMD Capacitor 330nF 50VDC 10% Chip1206,1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0350,,9638854,Capacitor 1nF 50V 10% CH0402 X7R,1.0,ST,ST,,0.0,Third Party,X7R,capacitor,Di-electric capacitor,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0360,,9638854,Capacitor 1nF 50V 10% CH0402 X7R,1.0,ST,ST,,0.0,Third Party,X7R,capacitor,Di-electric capacitor,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0390,,9638835,Cap Cer 100nF 10% 50V X7R CH0603,1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0410,,9562280,Cap Cer 10nF 10% 50V X7R CH0603,1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0460,,9690241,Cap Cer 10uF 20% 25V X5R CH0603,1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0470,,9571939,Cap Cer 4.7uF 10% 50V X7R CH1210,1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0480,,9690241,Cap Cer 10uF 20% 25V X5R CH0603,1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0500,,9654977,Cap Cer 4.7uF 10% 10V X5R CH0603,1.0,ST,ST,,0.0,Third Party,X5R,Capacitor,Di-electric capacitor,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0560,,9571926,Cap Cer 1uF 1% 50V X7R CH1206,1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0571,,9638835,Cap Cer 100nF 10% 50V X7R CH0603,1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0574,,9638835,Cap Cer 100nF 10% 50V X7R CH0603,1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0590,,9562304,Cap Cer 33pF 5% 50V C0G CH0603,1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0591,,9638835,Cap Cer 100nF 10% 50V X7R CH0603,1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0592,,9638835,Cap Cer 100nF 10% 50V X7R CH0603,1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0593,,9638835,Cap Cer 100nF 10% 50V X7R CH0603,1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.........9,0594,,9638835,Cap Cer 100nF 10% 50V X7R CH0603,1.0,ST,ST,,0.0,Third Party,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
