component_type,material_main,mass_g,recycled_content_pct,supplier_region,compliance_rohs,contains_hazardous_substance,repairability_bin
pcb,aluminum,67.05,57.0,Other,1,0,Medium
pcb,copper,49.69,56.2,NA,1,1,Medium
pcb,copper,34.72,37.9,APAC,0,1,Low
pcb,glass,17.67,39.6,APAC,0,0,Low
cell,plastic,95.13,9.8,APAC,1,1,Medium
housing,steel,47.34,39.3,Other,1,0,Low
housing,glass,34.72,25.4,APAC,1,0,Low
housing,aluminum,50.99,34.4,NA,0,1,Low
housing,copper,30.88,12.3,NA,1,1,High
cell,plastic,36.21,42.5,NA,0,0,Medium
connector,plastic,76.04,17.4,APAC,0,1,Low
pcb,plastic,38.07,50.0,EU,1,1,Medium
