component_type,material_main,mass_g,recycled_content_pct,supplier_region,compliance_rohs,contains_hazardous_substance,repairability_bin
cell,aluminum,74.22,41.6,NA,0,1,Low
connector,aluminum,40.73,42.5,APAC,0,0,Low
connector,plastic,17.67,15.8,NA,1,0,Low
pcb,plastic,36.95,0.0,EU,0,1,Low
cell,plastic,58.53,27.3,APAC,1,0,Low
connector,glass,27.46,26.7,EU,1,0,Medium
connector,steel,60.42,23.9,EU,0,1,High
cell,plastic,63.11,6.7,APAC,0,0,Medium
pcb,copper,47.79,33.1,APAC,1,0,Medium
cell,copper,50.99,32.3,APAC,1,0,Medium
cell,plastic,49.51,7.2,EU,1,1,Medium
pcb,aluminum,45.55,18.3,APAC,1,1,Medium
pcb,glass,14.88,27.2,NA,0,1,Medium
pcb,aluminum,49.51,63.0,NA,0,0,Medium
cell,aluminum,53.13,11.8,APAC,0,0,Low
connector,glass,9.39,24.9,EU,1,1,Medium
pcb,copper,95.13,57.4,EU,1,1,Low
connector,copper,45.01,24.4,NA,1,0,Medium
pcb,plastic,51.95,23.3,EU,0,1,Medium
cell,aluminum,30.29,28.9,APAC,0,0,High
pcb,glass,65.62,0.0,Other,1,0,Low
housing,plastic,60.48,30.1,EU,1,1,Low
connector,aluminum,43.82,38.9,EU,1,0,Low
housing,plastic,43.75,62.5,EU,1,1,Medium
connector,plastic,54.64,11.8,Other,0,0,Medium
connector,aluminum,16.04,26.7,NA,1,0,Low
cell,plastic,35.91,40.0,APAC,1,0,High
pcb,steel,71.37,49.3,EU,1,1,Medium
connector,aluminum,60.42,27.9,NA,1,0,Medium
cell,steel,56.99,24.5,EU,0,1,Medium
connector,glass,45.01,62.4,EU,0,0,Medium
pcb,glass,36.95,30.2,EU,1,1,Medium
cell,plastic,63.8,25.5,EU,0,0,Low
connector,steel,57.98,63.0,APAC,1,1,Medium
housing,steel,52.84,2.9,EU,0,0,Medium
pcb,glass,9.39,57.5,NA,0,0,Medium
connector,plastic,32.18,38.9,NA,1,1,Low
cell,steel,35.39,17.1,EU,0,1,Medium
housing,aluminum,14.88,14.2,Other,0,0,Medium
cell,steel,43.75,62.5,Other,0,1,Medium
pcb,plastic,62.13,2.0,APAC,1,1,Medium
pcb,glass,42.3,2.0,NA,1,0,High
cell,steel,49.69,7.8,APAC,1,1,Low
housing,glass,47.79,7.2,EU,0,1,Medium
cell,copper,57.58,57.4,APAC,1,0,Medium
cell,copper,44.04,57.5,APAC,1,0,High
cell,plastic,30.88,9.8,APAC,1,1,Low
connector,glass,66.83,13.0,Other,1,0,Medium
pcb,plastic,80.73,32.3,APAC,0,1,Low
connector,aluminum,62.87,12.3,Other,0,0,Medium
connector,plastic,42.93,27.2,NA,0,0,Low
housing,glass,64.94,15.8,APAC,1,1,Medium
connector,aluminum,66.83,6.0,APAC,1,0,Low
connector,glass,33.73,34.4,EU,1,0,Medium
housing,plastic,68.64,41.6,EU,0,1,Medium
cell,plastic,36.24,50.5,EU,0,0,Low
housing,plastic,40.41,41.1,NA,1,0,Low
pcb,plastic,47.34,17.4,Other,0,0,Medium
connector,plastic,59.87,30.1,EU,1,0,Medium
pcb,copper,71.37,41.4,Other,0,1,Medium
connector,copper,35.61,41.6,NA,0,1,Medium
pcb,plastic,45.24,68.0,NA,0,0,Medium
pcb,copper,16.04,38.5,EU,0,0,Medium
pcb,aluminum,45.55,59.5,EU,0,1,Medium
housing,steel,27.46,28.2,EU,1,0,Low
pcb,steel,26.88,18.3,EU,0,1,Medium
connector,aluminum,36.21,7.8,APAC,1,1,Low
pcb,copper,60.48,2.0,APAC,0,0,Low
pcb,steel,45.01,25.5,APAC,1,0,Low
housing,glass,56.99,10.2,APAC,1,1,Low
connector,steel,73.05,52.4,EU,1,0,Low
pcb,aluminum,53.22,58.3,APAC,0,1,Medium
connector,steel,49.51,58.3,NA,1,1,Medium
pcb,aluminum,48.77,24.4,APAC,0,1,High
pcb,glass,53.13,56.2,Other,0,0,Medium
pcb,copper,71.99,34.9,APAC,0,0,High
connector,aluminum,61.66,39.5,NA,1,1,Medium
cell,copper,57.98,1.0,APAC,0,0,Medium
cell,copper,35.49,65.3,NA,1,1,High
cell,steel,45.21,58.2,NA,1,0,Low
housing,plastic,44.26,53.4,NA,0,0,Low
connector,plastic,65.62,23.9,EU,0,0,Medium
cell,aluminum,95.13,36.7,EU,0,1,Low
cell,plastic,9.39,32.0,EU,0,1,Low
housing,plastic,63.8,28.9,NA,1,0,Low
housing,glass,49.15,34.1,NA,0,0,Medium
housing,glass,76.04,51.9,EU,1,0,High
pcb,aluminum,55.49,7.8,NA,0,0,High
pcb,plastic,36.24,32.0,EU,0,0,Medium
connector,steel,21.52,23.3,EU,1,1,High
pcb,copper,54.64,20.2,EU,1,0,Medium
cell,glass,63.8,41.3,NA,1,1,Medium
connector,copper,16.87,58.3,NA,0,1,Medium
pcb,plastic,36.21,6.7,EU,0,0,Medium
pcb,copper,55.49,41.1,EU,1,0,Low
housing,plastic,72.74,19.4,NA,0,1,Low
pcb,plastic,36.32,23.3,NA,1,0,Medium
connector,aluminum,43.82,50.4,NA,0,1,High
cell,aluminum,23.87,51.6,APAC,1,1,Medium
connector,copper,55.6,57.5,NA,0,0,Medium
connector,plastic,28.8,15.4,Other,0,1,Low
pcb,copper,40.44,51.6,EU,0,1,High
housing,steel,72.74,28.9,NA,1,0,High
pcb,plastic,68.87,26.7,Other,0,1,Medium
pcb,glass,20.56,18.2,NA,0,0,Medium
pcb,plastic,61.57,43.8,EU,1,0,Low
pcb,copper,40.44,73.5,EU,1,1,High
connector,glass,8.6,39.5,EU,0,0,Medium
housing,glass,48.04,11.8,NA,1,1,Medium
connector,glass,62.87,42.5,Other,0,1,Low
housing,copper,34.72,26.7,EU,1,1,Low
cell,aluminum,47.85,23.1,APAC,0,0,Medium
cell,glass,16.04,0.0,Other,0,0,High
connector,copper,31.11,50.5,Other,0,1,High
pcb,steel,35.91,97.4,EU,1,0,Medium
connector,aluminum,23.07,44.7,NA,1,0,Medium
housing,steel,65.62,50.4,EU,0,0,Low
housing,glass,50.08,43.8,NA,0,0,High
cell,plastic,62.13,62.5,APAC,1,1,Medium
connector,plastic,62.87,28.7,NA,0,1,Low
connector,aluminum,33.74,12.3,APAC,1,1,Low
housing,aluminum,36.95,17.4,APAC,1,0,Low
cell,glass,59.63,37.1,EU,1,1,Medium
connector,steel,36.21,27.9,NA,0,1,Low
pcb,plastic,32.18,34.9,EU,1,0,Medium
housing,plastic,59.63,43.8,APAC,0,1,Low
connector,steel,60.42,36.9,NA,0,1,Medium
cell,copper,21.52,25.5,EU,1,0,Medium
cell,plastic,60.48,50.5,NA,0,0,Medium
cell,steel,16.04,42.4,APAC,1,0,Low
cell,steel,23.87,62.5,APAC,1,0,Medium
connector,steel,62.21,50.4,EU,1,1,Medium
connector,plastic,21.52,5.7,NA,0,0,Low
housing,aluminum,17.67,18.2,Other,1,1,Low
connector,plastic,48.77,57.5,NA,1,1,Low
housing,copper,47.28,41.4,APAC,0,0,Medium
connector,aluminum,62.13,41.1,NA,1,1,Low
cell,glass,34.77,37.9,EU,1,0,Low
pcb,glass,76.04,32.0,NA,0,1,High
housing,aluminum,63.8,58.2,EU,1,1,Low
cell,plastic,43.82,19.0,APAC,0,0,Medium
connector,aluminum,82.96,24.6,NA,1,0,Low
cell,plastic,36.21,7.2,APAC,0,0,Medium
cell,glass,20.67,26.7,EU,0,0,Medium
pcb,glass,35.61,59.5,EU,0,0,Medium
pcb,aluminum,37.25,35.0,EU,1,0,Low
pcb,glass,53.22,73.0,NA,1,0,Low
connector,copper,30.88,11.8,Other,1,1,Medium
housing,aluminum,68.87,42.4,EU,1,0,Medium
pcb,glass,52.84,5.7,Other,1,0,Low
housing,plastic,79.89,38.5,Other,1,0,Medium
housing,aluminum,71.99,43.8,NA,0,1,Medium
connector,steel,47.34,20.1,NA,0,1,Medium
cell,aluminum,39.58,30.5,APAC,1,0,Medium
connector,aluminum,72.74,38.5,NA,1,1,Low
connector,plastic,83.19,58.3,EU,0,0,Medium
cell,plastic,67.6,18.2,APAC,1,0,Medium
housing,steel,60.42,50.4,NA,1,1,High
connector,plastic,42.93,2.9,EU,0,0,Low
housing,plastic,51.27,1.0,NA,0,1,Medium
cell,glass,77.29,10.2,APAC,0,0,Low
housing,copper,56.34,17.4,Other,0,1,Low
connector,aluminum,38.05,57.0,APAC,0,1,Low
cell,copper,48.77,54.9,NA,0,0,Medium
cell,glass,89.12,31.6,EU,1,1,Medium
housing,aluminum,36.32,23.3,EU,0,0,Medium
connector,aluminum,62.13,6.0,EU,1,1,Medium
cell,plastic,65.62,58.2,NA,0,0,Medium
connector,plastic,48.77,51.6,APAC,1,1,Low
housing,plastic,14.88,65.3,EU,1,0,Low
housing,steel,79.89,35.0,EU,1,0,Medium
cell,copper,57.58,13.5,Other,0,0,Medium
housing,copper,63.11,0.0,EU,0,0,Medium
cell,steel,62.18,73.6,EU,0,0,High
housing,copper,58.53,43.2,NA,0,1,High
connector,steel,47.68,57.5,EU,0,1,Low
cell,aluminum,18.34,3.6,APAC,0,0,Medium
cell,glass,91.29,1.0,NA,1,1,Medium
connector,steel,53.28,6.7,NA,0,1,Medium
pcb,glass,61.35,34.1,EU,1,1,Medium
housing,copper,35.61,41.3,Other,0,1,Low
cell,plastic,19.18,30.5,NA,1,1,Medium
cell,copper,30.14,57.0,APAC,0,0,Low
housing,steel,42.3,30.1,APAC,1,0,Low
connector,copper,16.04,49.6,EU,1,0,Medium
pcb,plastic,42.71,15.4,Other,0,1,Medium
cell,glass,20.56,38.9,APAC,0,0,Medium
cell,aluminum,54.64,20.1,EU,0,0,Medium
pcb,aluminum,39.58,73.3,NA,1,0,Medium
pcb,aluminum,66.83,28.9,Other,1,1,Medium
connector,glass,57.58,11.8,EU,0,0,Low
housing,aluminum,51.89,23.1,EU,0,0,Medium
housing,plastic,36.21,39.3,EU,1,1,Medium
cell,aluminum,43.75,30.1,NA,0,0,Low
pcb,copper,58.53,39.6,NA,1,0,Medium
connector,copper,51.95,24.5,Other,0,1,Low
housing,steel,30.29,17.4,NA,1,0,Medium
connector,plastic,51.89,49.3,EU,1,0,Medium
cell,aluminum,45.24,23.1,Other,0,0,Medium
connector,copper,68.2,73.5,Other,0,1,Low
pcb,glass,9.39,51.6,EU,0,1,Medium
housing,aluminum,68.64,13.5,Other,1,1,High
pcb,glass,47.68,19.0,EU,1,0,Medium
connector,glass,58.53,39.5,EU,1,1,High
housing,steel,45.55,68.0,NA,1,1,Medium
pcb,glass,59.88,30.9,EU,1,0,Medium
housing,aluminum,26.88,51.7,EU,0,0,High
housing,plastic,47.85,35.0,NA,0,1,High
housing,plastic,61.66,32.3,Other,0,0,Low
pcb,copper,73.05,28.9,EU,1,0,Medium
pcb,copper,59.63,14.2,EU,1,0,Low
connector,plastic,39.14,34.9,NA,0,0,Low
pcb,copper,59.63,15.4,Other,1,1,Medium
connector,copper,62.18,27.9,APAC,0,1,Medium
pcb,plastic,45.01,2.1,EU,0,0,Medium
pcb,glass,51.89,34.4,EU,1,0,High
connector,plastic,9.39,35.5,EU,0,1,Low
connector,steel,36.24,56.2,EU,0,1,High
pcb,aluminum,67.05,34.1,NA,0,0,High
cell,copper,20.56,24.6,APAC,1,0,Medium
housing,steel,59.63,27.2,EU,0,0,Medium
connector,aluminum,67.05,36.3,EU,0,1,Medium
pcb,aluminum,72.74,20.2,NA,1,1,Medium
housing,steel,48.77,30.5,NA,0,0,Medium
housing,glass,64.94,30.2,NA,0,1,Low
housing,steel,42.18,20.4,APAC,1,1,Medium
pcb,plastic,21.52,73.0,APAC,0,1,Low
connector,aluminum,42.71,73.6,Other,0,0,Medium
housing,glass,61.66,34.4,APAC,1,1,Low
connector,glass,20.56,50.0,EU,0,1,Low
pcb,aluminum,61.66,73.0,NA,0,0,Low
housing,aluminum,83.19,49.6,APAC,0,0,Medium
connector,copper,41.18,20.9,EU,1,0,High
cell,aluminum,68.2,65.3,EU,0,0,Medium
cell,plastic,47.28,34.4,APAC,0,0,Low
cell,copper,25.72,62.4,EU,1,0,Medium
pcb,copper,21.24,73.3,Other,1,1,Medium
cell,steel,43.78,6.0,EU,1,0,Medium
cell,plastic,53.22,7.2,Other,0,0,Medium
housing,copper,67.6,33.1,EU,0,0,Medium
cell,steel,62.21,33.6,EU,0,1,Medium
housing,aluminum,45.55,30.2,NA,1,1,Low
pcb,copper,46.85,34.4,Other,1,1,Low
connector,glass,71.99,5.7,NA,0,0,High
cell,copper,23.87,15.4,EU,1,0,Medium
cell,steel,83.19,97.4,EU,0,1,Medium
connector,steel,62.21,23.3,APAC,1,1,Medium
connector,plastic,35.91,20.2,APAC,0,0,Medium
connector,aluminum,49.51,15.4,NA,1,0,High
cell,steel,23.31,43.2,EU,0,0,Medium
cell,steel,71.37,33.6,APAC,0,1,Medium
pcb,aluminum,80.73,53.2,EU,0,0,Medium
housing,plastic,45.55,63.0,EU,1,1,Medium
cell,glass,56.34,23.5,Other,1,0,High
connector,aluminum,11.27,25.4,Other,1,1,Medium
housing,copper,55.6,10.2,APAC,0,0,Low
cell,steel,48.77,25.5,APAC,0,0,Medium
cell,steel,42.93,65.3,EU,1,1,Medium
pcb,copper,56.99,27.3,Other,1,0,Medium
housing,copper,44.26,2.0,Other,1,1,Low
pcb,glass,42.93,1.0,NA,0,1,Medium
cell,plastic,51.27,54.9,EU,0,1,Medium
pcb,aluminum,23.31,30.1,NA,1,0,Medium
connector,aluminum,68.87,41.1,EU,0,1,Low
pcb,aluminum,23.07,41.3,EU,0,1,Low
cell,aluminum,60.42,38.9,EU,1,0,Medium
connector,aluminum,60.48,26.7,NA,0,1,Low
housing,aluminum,25.72,36.7,NA,0,1,Medium
connector,steel,41.18,50.0,EU,0,0,Low
pcb,glass,63.88,67.8,APAC,0,1,Low
cell,steel,56.99,36.7,Other,1,0,Medium
connector,plastic,40.41,36.9,APAC,0,0,Low
connector,plastic,62.13,14.2,APAC,1,1,Low
pcb,aluminum,8.6,51.7,NA,1,0,Low
housing,copper,68.87,49.2,NA,0,1,Medium
housing,plastic,45.24,27.9,Other,1,0,Low
cell,steel,95.19,36.7,Other,0,1,Low
connector,glass,49.69,50.5,EU,0,1,High
connector,steel,52.84,43.8,Other,0,0,Low
cell,copper,33.74,67.8,NA,0,1,Medium
connector,glass,71.99,23.9,NA,0,1,Medium
cell,steel,49.69,67.8,EU,1,1,Medium
connector,copper,21.52,10.4,NA,1,0,Low
cell,copper,43.78,23.9,Other,0,0,Low
connector,steel,79.89,56.2,NA,1,0,Medium
connector,glass,29.09,19.0,EU,1,1,Medium
pcb,steel,29.55,23.9,EU,1,0,Low
connector,copper,55.49,57.0,APAC,0,1,Medium
cell,plastic,49.16,34.4,APAC,0,1,Low
pcb,plastic,17.66,62.5,APAC,1,0,Low
connector,copper,27.46,73.5,APAC,0,1,Medium
pcb,steel,74.22,36.7,EU,1,1,Low
connector,aluminum,17.66,42.5,APAC,1,1,Low
connector,glass,47.34,34.4,EU,1,1,High
connector,steel,65.62,39.6,NA,1,1,Medium
connector,plastic,60.48,15.8,Other,0,1,Medium
cell,aluminum,32.18,20.1,NA,0,0,Low
connector,copper,30.88,41.3,EU,1,0,Medium
housing,steel,63.33,5.7,EU,1,0,Medium
connector,steel,47.64,28.9,Other,1,1,Medium
housing,steel,37.25,34.1,EU,1,0,Medium
pcb,copper,36.32,24.4,EU,0,1,Low
pcb,plastic,65.62,73.0,NA,1,1,Medium
pcb,copper,35.39,34.4,EU,0,0,Low
connector,aluminum,36.32,54.9,APAC,1,1,Low
cell,plastic,57.8,21.3,NA,1,1,Low
cell,steel,27.44,57.4,APAC,0,0,Medium
cell,steel,49.69,30.1,EU,0,1,Medium
cell,copper,30.29,35.3,NA,0,0,High
connector,glass,27.44,25.4,EU,1,1,Medium
cell,glass,46.85,57.5,EU,1,0,Low
connector,plastic,59.87,23.1,EU,0,0,Medium
cell,glass,38.05,28.2,EU,1,0,Medium
connector,copper,53.28,26.7,EU,1,0,High
cell,copper,47.79,14.2,NA,1,1,Low
housing,steel,38.07,12.3,NA,0,0,Medium
connector,glass,9.39,30.2,NA,1,1,Medium
pcb,aluminum,57.8,68.0,EU,0,1,High
connector,plastic,63.88,21.3,EU,0,0,Low
cell,glass,57.98,62.4,NA,1,0,Low
pcb,aluminum,20.56,18.3,NA,0,1,Medium
connector,glass,71.37,49.3,NA,0,1,Medium
connector,copper,63.33,50.4,NA,0,0,Low
cell,aluminum,9.39,59.5,EU,0,0,High
connector,steel,25.72,24.9,EU,1,1,Medium
housing,plastic,68.87,37.9,EU,0,0,Medium
connector,aluminum,51.89,41.3,NA,0,0,Medium
cell,copper,27.46,40.0,NA,1,0,Low
cell,steel,41.18,13.0,EU,1,0,Medium
pcb,plastic,40.73,7.8,NA,0,0,Low
cell,aluminum,67.05,49.3,APAC,1,1,Medium
housing,steel,30.88,41.3,EU,1,0,Medium
cell,aluminum,17.66,49.6,APAC,0,1,Medium
pcb,copper,55.49,36.3,Other,0,0,Medium
housing,steel,16.87,97.4,NA,1,1,Medium
cell,glass,18.59,21.3,APAC,0,1,Low
connector,steel,43.82,26.7,EU,0,0,Medium
cell,plastic,51.95,31.6,EU,1,0,Low
housing,aluminum,68.2,32.0,EU,0,0,Low
connector,plastic,63.11,33.6,APAC,1,0,Low
cell,glass,63.83,50.4,EU,1,1,Medium
connector,aluminum,33.74,42.5,APAC,0,1,Low
cell,aluminum,29.09,62.4,EU,1,0,Medium
pcb,aluminum,58.32,27.9,NA,0,0,Medium
connector,glass,50.99,6.0,NA,0,1,Low
connector,copper,34.72,42.4,EU,0,1,Medium
connector,copper,8.6,43.8,NA,0,1,High
housing,aluminum,20.56,21.3,APAC,0,1,High
pcb,plastic,68.2,7.2,EU,0,1,Low
connector,copper,80.73,53.6,EU,1,0,Medium
cell,glass,43.75,57.4,NA,1,0,Low
housing,steel,49.69,9.9,Other,0,1,Medium
cell,aluminum,61.66,43.6,EU,1,1,Medium
connector,copper,35.91,15.8,NA,1,1,Low
connector,aluminum,83.19,50.4,APAC,1,1,High
housing,copper,60.48,49.2,EU,1,1,Medium
connector,plastic,59.02,5.7,NA,1,1,Low
cell,plastic,62.18,36.7,NA,0,1,Medium
cell,copper,17.67,20.1,APAC,1,0,Medium
connector,steel,47.79,23.9,EU,1,0,Medium
pcb,copper,11.27,17.4,Other,1,1,Medium
pcb,steel,23.07,34.1,NA,0,1,High
cell,steel,56.99,23.9,EU,1,1,Medium
housing,plastic,23.87,13.0,EU,1,1,Medium
connector,glass,59.02,33.1,Other,1,0,Medium
cell,glass,23.31,34.4,EU,0,1,Medium
pcb,steel,29.55,9.9,APAC,0,0,Low
cell,glass,47.28,9.8,APAC,1,1,Medium
connector,copper,47.33,41.4,APAC,1,1,Medium
cell,aluminum,36.32,24.6,EU,0,1,Medium
pcb,copper,42.93,59.5,Other,1,0,Medium
pcb,copper,49.66,23.3,NA,1,1,High
cell,glass,63.83,10.2,APAC,1,0,Medium
cell,glass,39.58,20.2,Other,0,0,Medium
connector,copper,40.73,51.6,APAC,0,1,Medium
connector,aluminum,48.04,7.8,APAC,0,1,Low
pcb,steel,63.33,62.5,APAC,1,0,Medium
pcb,plastic,56.34,2.9,EU,0,0,Medium
connector,plastic,28.8,40.0,APAC,0,1,Medium
pcb,plastic,48.04,27.2,NA,1,0,Medium
connector,copper,95.19,49.2,APAC,0,0,Low
cell,copper,32.18,35.3,APAC,0,1,Medium
housing,plastic,23.07,23.9,EU,1,1,Low
pcb,copper,62.18,2.9,EU,1,0,Low
connector,copper,29.55,10.4,EU,0,0,Medium
housing,plastic,63.11,62.4,EU,1,1,Medium
connector,aluminum,62.21,50.5,EU,0,1,High
cell,copper,54.64,17.1,EU,0,1,Medium
connector,aluminum,43.78,27.3,Other,0,1,Low
cell,aluminum,63.54,39.5,EU,0,1,Medium
pcb,aluminum,9.39,2.1,EU,1,0,Low
pcb,copper,55.49,34.9,NA,0,1,Medium
connector,steel,40.13,56.2,EU,0,1,Low
housing,copper,42.05,28.9,EU,1,1,Medium
cell,steel,23.87,42.5,EU,0,1,Medium
housing,steel,34.72,28.7,NA,1,0,Medium
housing,copper,58.32,33.1,EU,0,1,Medium
cell,glass,28.8,52.4,APAC,0,1,Low
connector,aluminum,34.77,36.7,EU,0,0,Medium
cell,steel,31.11,52.4,APAC,0,1,Medium
connector,glass,33.74,21.3,NA,1,1,Low
cell,aluminum,62.21,10.4,APAC,0,0,Low
housing,plastic,44.04,51.9,Other,0,1,Medium
connector,copper,40.73,51.6,NA,1,1,Medium
connector,aluminum,74.22,19.4,EU,1,0,Low
housing,aluminum,36.32,2.0,APAC,0,1,Medium
pcb,steel,17.66,37.1,NA,0,1,Medium
connector,glass,59.02,73.6,APAC,0,0,Low
cell,steel,44.65,39.3,EU,1,0,Medium
pcb,glass,45.21,18.3,EU,1,0,Medium
housing,plastic,44.65,38.9,APAC,1,0,Medium
connector,copper,45.86,63.0,NA,0,1,Medium
cell,steel,64.94,50.5,APAC,0,0,Low
connector,plastic,47.85,30.1,NA,1,1,Medium
housing,glass,39.58,58.2,EU,1,1,Low
cell,steel,21.52,2.1,EU,1,1,Medium
connector,steel,50.08,57.0,NA,0,1,Medium
connector,plastic,19.18,32.0,EU,0,0,Medium
housing,steel,48.04,40.0,Other,0,1,Low
pcb,copper,20.67,73.5,EU,0,1,Low
housing,aluminum,51.95,10.2,APAC,0,0,Low
housing,aluminum,44.04,53.2,EU,0,1,Low
cell,glass,68.87,7.9,EU,0,1,Low
pcb,steel,11.27,49.3,NA,1,1,Medium
pcb,steel,47.79,10.2,APAC,1,1,High
housing,plastic,44.65,28.2,EU,1,1,Low
connector,glass,33.73,19.0,APAC,0,0,Low
cell,aluminum,49.51,58.2,APAC,0,1,Medium
pcb,glass,23.87,19.0,NA,0,1,Low
